"package_name", "sum(sum_quantity)"
"javax.tools", "14"
"javax.xml.datatype", "22"
"javax.xml.parsers", "88"
"long[]", "142"
"net.hockeyapp.android", "4248"
"net.hockeyapp.android.listeners", "11"
"net.hockeyapp.android.objects", "11"
"net.hockeyapp.android.tasks", "77"
"net.hockeyapp.android.utils", "11"
"net.hockeyapp.android.views", "193"
"oauth.signpost", "3581"
"oauth.signpost.basic", "675"
"oauth.signpost.commonshttp", "611"
"oauth.signpost.exception", "341"
"oauth.signpost.http", "1872"
"oauth.signpost.signature", "1485"
"okio", "21479"
"org.acra", "1037"
"org.apache.commons.codec", "452"
"org.apache.commons.codec.binary", "1613"
"org.apache.commons.codec.digest", "640"
"org.apache.commons.codec.language", "4824"
"org.apache.commons.codec.net", "2160"
"org.apache.commons.io", "23909"
"org.apache.commons.io.comparator", "2292"
"org.apache.commons.io.filefilter", "6491"
"org.apache.commons.io.input", "8223"
"org.apache.commons.io.monitor", "2373"
"org.apache.commons.io.output", "5951"
"org.apache.commons.lang3", "13900"
"org.apache.commons.lang3.builder", "6492"
"org.apache.commons.lang3.concurrent", "2497"
"org.apache.commons.lang3.event", "583"
"org.apache.commons.lang3.exception", "1419"
"org.apache.commons.lang3.math", "2363"
"org.apache.commons.lang3.mutable", "1507"
"org.apache.commons.lang3.reflect", "4147"
"org.apache.commons.lang3.text", "8190"
"org.apache.commons.lang3.text.translate", "1820"
"org.apache.commons.lang3.time", "3234"
"org.apache.commons.lang3.tuple", "198"
"org.apache.http", "4673"
"org.apache.http.auth", "12"
"org.apache.http.client", "643"
"org.apache.http.client.entity", "26"
"org.apache.http.client.methods", "1094"
"org.apache.http.client.params", "16"
"org.apache.http.client.utils", "14"
"org.apache.http.conn", "216"
"org.apache.http.conn.params", "56"
"org.apache.http.conn.scheme", "182"
"org.apache.http.conn.ssl", "46"
"org.apache.http.cookie", "145"
"org.apache.http.entity", "427"
"org.apache.http.entity.mime", "4907"
"org.apache.http.entity.mime.content", "1861"
"org.apache.http.impl", "140"
"org.apache.http.impl.client", "559"
"org.apache.http.impl.conn", "13"
"org.apache.http.impl.conn.tsccm", "29"
"org.apache.http.impl.cookie", "152"
"org.apache.http.message", "449"
"org.apache.http.params", "670"
"org.apache.http.protocol", "109"
"org.apache.http.util", "106"
"org.joda.time", "16622"
"org.joda.time.base", "3990"
"org.joda.time.chrono", "10703"
"org.joda.time.convert", "779"
"org.joda.time.field", "8184"
"org.joda.time.format", "5194"
"org.joda.time.tz", "1130"
"org.json", "28765"
"org.json.simple", "1229"
"org.json.simple.parser", "1253"
"org.slf4j", "135"
"org.slf4j.helpers", "334"
"org.slf4j.impl", "22"
"org.w3c.dom", "253"
"org.w3c.dom.bootstrap", "22"
"org.w3c.dom.ls", "22"
"org.xml.sax", "22"
"org.xmlpull.v1", "1141"
"retrofit", "12808"
"retrofit.android", "270"
"retrofit.appengine", "795"
"retrofit.client", "3467"
"retrofit.converter", "414"
"retrofit.http", "130"
"retrofit.mime", "2471"
"rx", "78"
"rx.subscriptions", "13"
"short[]", "11"
"twitter4j", "20528"
"twitter4j.auth", "5481"
"twitter4j.conf", "12216"
"twitter4j.internal.async", "88"
"twitter4j.internal.http", "3421"
"twitter4j.internal.json", "121"
"twitter4j.internal.logging", "220"
"twitter4j.internal.org.json", "5082"
"twitter4j.json", "993"
"twitter4j.management", "2040"
"twitter4j.util", "377"
"uk.co.senab.photoview", "476"
